id_producto,linea,nombre,principios_activos,indicaciones,posologia,presentaciones,estado
prod_012,Productos mh,Argentum met D4 MH (plata coloidal),25ppm de plata coloidal en agua destilada.,Antibiótico y antiséptico natural sin efectos secundarios; La Plata coloidal es el resultado de un proceso electrolítico que se lleva a cabo en agua que atrae partículas submicroscópicas de plata de un trozo más grande de plata pura; estas partículas permanecen en suspensión debido a la pequeña carga eléctrica de cada partícula; Dado lo diminuto de las partículas; la plata puede penetrar más fácilmente y viajar por todo el cuerpo; La plata coloidal es un antibiótico que no destruye la flora intestinal benéfica.^BENEFICIOS: Se puede usar internamente (ingerida; inhalada; etc) o externamente (apósitos; enjuagues; etc); se muestra eficaz en el tratamiento de numerosas dolencias entre las que destacan las siguientes: acné; alergias; apendicitis; bursitis; varios tipos de tumores y verrugas; candidiasis; cistitis; cólera; colitis; infecciones otorrinolaringológicas (oídos; boca y garganta) y oftalmológicas (ojos); dermatitis y eccemas; diabetes causada por una infección; diarrea; disentería; erupciones; escarlatina; fatiga crónica; fibrosis; fiebre en general; forúnculos; gastritis y úlceras de estómago (incluso la causada por la Helicobacter Pylori); blenorragia; gripe; heridas abiertas; herpes simple; herpes zoster; inflamación de la vejiga; lepra; lupus; malaria; meningitis; mononucleosis; neumonía; neurastenia; parásitos en la sangre; pie de atleta; piorrea; pleuritis; problemas de tiroides; problemas debidos a infecciones por estreptococos y estafilococos; prostatitis; prurito anal; psoriasis; pulmonía (viral; fúngica o bacteriana); quemaduras; queratitis; resfriado común; reumatismo; rinitis; seborrea; septicemia; sífilis; sinusitis; tiña; tos; toxemia; tuberculosis; gingivitis; úlceras varicosas; entre muchos otros.,USO INTERNO: En caso de afecciones internas; 2 puff debajo de la lengua 3 veces al día; o una cucharada 3 veces al día continuando con la dosis de mantenimiento en cuanto haya mejoría.^USO EXTERNO: Rociar sobre el área afectada las veces que sea necesario hasta que el problema desaparezca. Una venda o gasa remojada en agua con unas pocas gotas de plata coloidal puede aplicarse mojada en heridas abiertas; para prevenir infecciones. En muchos casos; esta aplicación; además de detener la infección; mitiga el dolor en menos de una hora.,Frasco spray por 30 ml. Frasco 100ml y 240 ml.,activo
prod_013,Productos mh,Árnica D4 MH,Aconitum napellus D6; Árnica D3-D6; Belladonna D4; Bellis perennisD3; Bryonia D4; Caléndula D3; Echinacea D3; Hamamelis D4; Hypericum D3; Phytolacca D6; Ruta Graveolens D3; Scrophularia D6; Symphytum D6.,Traumatismos de todo tipo; inflamación generalizada; inflamación localizada de órganos y tejidos. reumatismos; hematomas.,,Gotas x 30 ml; Tabletas x 90 (En stock permanente) Bajo pedido: Glóbulos; Elixir; Spray oral; Spray nasal; Viales bebibles; Viales nebulizables.,activo
prod_014,Productos mh,Árnica D4 MH crema o gel,Árnica D2; Cápsicum D2; Caléndula D2; Chamomilla recutita D2.,Analgésica; antiséptica; antiinflamatoria.,,Crema 120g; Gel 120 g.,activo
prod_015,Productos mh,Ascorbicum acidum D4 MH,Acido ascorbico x 500mg.,El ácido ascórbico (vitamina C) es recomendado para fortalecer el sistema inmunitario; proteger las células del daño oxidativo y ayudar en la formación y reparación de tejidos como la piel; los huesos y los vasos sanguíneos; También mejora la absorción del hierro de los alimentos de origen vegetal y es esencial para prevenir y tratar el escorbuto.,,Cápsulas x 90.,activo
prod_016,Productos mh,Aurum met D4 MH,Ambra grisea D8; Anacardium 30CH; Árnica montana 30CH-200CH; Aurum met 30CH; Avena sativa 30CH; Baryta 30CH; Carbo vegetabilis 200CH; Conium mac 30CH; Curarum 30CH; Gelsemium 30CH; Kalium phos. 30CH-200CH; Magnesia phos 30CH; Passiflora 30CH-200CH; Phosphoricum acidum 30CH-200CH; Plumbum 30CH; Selenium 30CH-200CH.,Hipersensibilidad nerviosa; insomnio; agotamiento físico y mental; nerviosismo; depresión; pérdida de memoria; fortalece el sistema nervioso.,,Gotas x 30 ml; Tabletas x 90 (En stock permanente) Bajo pedido: Glóbulos; Elixir; Spray oral; Spray nasal; Viales bebibles; Viales nebulizables.,activo
prod_017,Productos mh,Badiaga D4 MH,Este medicamento se elabora en una base de vitaminas; oligoelementos y aminoácidos.;Glycine max TM; Arsenicum Iodatum D30; Badiaga D6; Graphites D6-D12-D30; Hekla Lava D12; Iodum D30; Lapis albus D12; Lycopus Virginicum D30; Natrium Chloratum D30; Natrum muriaticum 200 CH; Spongia D6; Tiroidinum 200CH; Zincum Metalicum D6.,Modulador de las funciones tiroideas; bocio tiroideo; hipo e hipertiroidismo; obesidad tiroidea.,,Frasco por 90 cápsulas,activo
prod_018,Productos mh,Baptisia D4 MH,Apis mell. D4; Árnica D6; Arsenicum album D10; Baptisia tinctoriana D4-D6; Belladona D4; Barium chlorat D6; Bryonia D6; Calcium iodat D8; Dulcamara D6; Echinácea D6; Kalium bichrom D8; Phytolacca D4; Teucrium D6.,Fiebres producidas por infección; amigdalitis; linfatismo; vegetaciones adenoides; catarro de la mucosa nasal; infecciones bacteriológicas agudas y crónicas; otitis media; conjuntivitis; colecistitis; inflamación de la raíz del diente; inflamaciones purulentas como absceso; flemones; forúnculo y otras supuraciones.,,Gotas x 30 ml; Tabletas x 90 (En stock permanente) Bajo pedido: Glóbulos; Elixir; Spray oral; Spray nasal; Viales bebibles; Viales nebulizables.,activo
prod_019,Productos mh,Baryta D4 MH,Allium sativum D3-D6; Árnica D4; Aurum D6; Avena sativa D3; Baryta D8-D12; Crataegus D3; Glonoinum D6; Melilotus D4-D8; Plumbum D8; Viscum album D6.,Hipertensión; Arteriosclerosis; Apoplejía; Angina de pecho; Pérdida de la memoria.,,Gotas x 30 ml; Tabletas x 90 (En stock permanente) Bajo pedido: Glóbulos; Elixir; Spray oral; Spray nasal; Viales bebibles; Viales nebulizables.,activo
prod_020,Productos mh,Belladona D4 MH,Árnica D3-D6; Aconitum D6; Baptista D6-D12; Belladona D4-D6-D12; Echinacea D6; Helianthus D4-D6; Phosphorus D3.,Estados febriles; inflamaciones localizadas; abscesos; otitis; parotiditis; amigdalitis.,,Gotas x 30 ml; Tabletas x 90 (En stock permanente) Bajo pedido: Glóbulos; Elixir; Spray oral; Spray nasal; Viales bebibles; Viales nebulizables.,activo
prod_021,Productos mh,Benzoicum acidum D4 MH,Allium cepa D4; Benzoicum acidum D6-D12; Berberis D6-D12; Lycopodium 6CH; Nux vómica D6; Ocinum 6CH; Taraxacum D4; Urtica D6.,Hiperuricemias; Gota.,,Gotas x 30 ml; Tabletas x 90 (En stock permanente) Bajo pedido: Glóbulos; Elixir; Spray oral; Spray nasal; Viales bebibles; Viales nebulizables.,activo
prod_022,Productos mh,Berberis D4 MH,Berberis D4-D6-D12; Cantharis D6; Equisetum D3-D6-D12; Formica rufa D8; Lycopodium D6; Pareira brava D6; Petroselinum D3; Plantago D6; Sabal D6-D12; Sarsaparrilla D4; Solidago D4; Terebentina D6; Staphysagria D6; Urtica urens D3.,Incontinencia urinaria; regulador del funcionamiento renal; cálculos renales; depurativo renal; cistitis; nefritis.,,Gotas x 30 ml; Tabletas x 90 (En stock permanente) Bajo pedido: Glóbulos; Elixir; Spray oral; Spray nasal; Viales bebibles; Viales nebulizables.,activo
prod_023,Productos mh,Borax D4 MH,Borax D3; Baptisia D3; Cápsicum D6; Caléndula D6; Echinacea D6; Kali bich D6; Mercurius sol. D3; Mezereum D3; Muriaticum acidum D6; Phytolacca D3; Sulfuricum acidum D6; Mucosa bucal D8.,Aftas; abscesos; afecciones del tubo digestivo boca y encias; fiebres infecciosas; úlceración de mucosas; Inflamación de la garganta; amigdalitis bacteriana; herpes; laringitis; faringitis.,,Spray bucofaríngeo x 30 ml.,activo
prod_024,Productos mh,Bryonia D4 MH,Aconitum D6; Baptisia D6; Belladona D6; Bronchus suis D6-D12; Bryonia D4; Causticum. D6; Eucalyptus D6; Euphatorium perfol. D3; Ferrum phosphoricum. D8; Gelsemium D6; Sabadilla D6.,Gripe; influenza; rinitis aguda (resfriado); rino-faringitis; catarros; vías respiratorias altas; bronquitis en caso de gripe; bronconeumonia; pleuritis; varicela.,,Gotas x 30 ml; Tabletas x 90 (En stock permanente) Bajo pedido: Glóbulos; Elixir; Spray oral; Spray nasal; Viales bebibles; Viales nebulizables.,activo
prod_025,Productos mh,Cactus D4 MH,Adonis vernalis D6; Ammi visnaga D30; Árnica D4; Aurum D8; Baryta D8; Cactus D6-D12; Crataegus D3-D6; Digitalis D3; Fluoricum acidum D6-D12; Ginkgo biloba D4-D6; Glonoinum D6; Hamamelis D6-D12; Kali iodatum D8; Laurocerasus D3-D6; Olea europea D6-D12; Spigelia D4; Strophantus D6; Valeriana D4; Vipera D6.,Patologías coronarias; Debilidad miocárdica; Arritmia; Angina de pecho; Circulación coronaria; Endocarditis; Prevención de infartos.,,Gotas x 30 ml; Tabletas x 90 (En stock permanente) Bajo pedido: Glóbulos; Elixir; Spray oral; Spray nasal; Viales bebibles; Viales nebulizables.,activo
prod_026,Productos mh,Caladium D4 MH,Glycine max TM; Acidum ascorbicum D6; Acidum phosphoricum D8; Agnus castus D6; Caladium seguinum D12; Cantharis D9; China D8; Furumbao TM; Conium D30; Damiana D6; Ferrum phosphoricum D12; Ginseng D3; Ginkgo D6; Kalium picrinicum D9; Lecithinum D6; Lycopodium D30; Maca TM; Magnesium phosphoricum D12; Manganum phosphoricum D9; Phosphorus D 12; Selenium D12; Strychninum phosphoricum D9; Yohimbinum D3; Zincum metallicum D12.,Combate la impotencia; aumenta la sensibilidad y el deseo sexual; estimulación de las funciones orgánicas en caso de distrofia adiposogenital; eyaculación precoz; impotencia viril; enuresis nocturna; distrofia muscular progresiva; estados de agotamiento; enfermedad de Peyronie (induración plástica del pene); osteomalacia; diabetes mellitus.,,Frasco por 90 cápsulas.,activo
prod_027,Productos mh,Calcium phosphoricum D4 MH,Asafoetida D6; Calcium carbonicum D8; Calcium fluoricum D8; Calcium iodat D8; Calcium phosphoricum D8; Calcium sulphuricum D8; China D3; Dulcamara D4; Ferrum phos. D8; Kalium iodatum D8; Phosphorus D6; Phosphoricum acidum D3; Silícea D12; Stillingia D4; Sulphur iodatun D8.,Alteraciones del metabolismo del calcio. osteoporosis; osteocondrosis; Hipocalcemia.,,Gotas x 30 ml; Tabletas x 90 (En stock permanente) Bajo pedido: Glóbulos; Elixir; Spray oral; Spray nasal; Viales bebibles; Viales nebulizables.,activo
prod_028,Productos mh,Calcium phosphoricum D4 MH triturado,Contiene las 12 Sales de Schussler D4; Citrato de calcio; Avena sativa TM; Ferrum phos D3; Vitamina D.,Estimular la producción y asimilación de calcio; ayuda a la recuperación de las personas convalescientes; postquirúrgicos; reposición de sales pérdidas del organismo.,Una cucharada tres veces al día disuelta en agua o jugo. Niños la mitad de la dosis.,Triturado por 400 g.,activo
prod_029,Productos mh,Caléndula D4 MH crema o gel,Caléndula D2; Centella asiatica D2; Equisetum D2; Chamomilla recutita D2.,Cicatrizante; Antiséptica; Antiinflamatoria.,,Crema 120g; Gel 120g.,activo
prod_030,Productos mh,Caléndula D4 MH óvulos vaginales,Caléndula D4; Echinacea D4; Hydrastis D4; Plata coloidal 25ppm.,Leucorrea; antiinflamatorio y antiséptico vaginal; infecciones; lubricante vaginal.,Aplicar un óvulo intravaginal en la noche antes de acostarse.,Caja con blíster por 6 Óvulos.,activo
prod_031,Productos mh,Cápsicum D4 MH ungüento,Cápsicum D1; Apitoxina D1; Cannabis D1; Arnica D3; Equisetum D3.,Disminución de la inflamación; la sensibilidad y el dolor causado por el movimiento en patologías como: artritis rematoidea; bursitis; gota; osteoartritis; tendinitis; esguince; lesión deportiva; lesión por sobrecarga.,,Pote x 40g.,activo
prod_032,Productos mh,Carbo vegetabilis D4 MH,Argentum nitricum D6; Bismuthum D8; Carbo vegetabilis D12-D30-D200; Colocynthis D6; Hydrastis D6; Kalium carbonicum D8; Leptandra D6; Natrum sulphuricum D8; Nux vómica D6; Robina D4.,Flatulencias; Gastroenteritis; Pirosis; Meteorismo; Gastritis.,,Gotas x 30 ml; Tabletas x 90 (En stock permanente) Bajo pedido: Glóbulos; Elixir; Spray oral; Spray nasal; Viales bebibles; Viales nebulizables.,activo
prod_033,Productos mh,Carduus marianus D4 MH,Omega 3 de origen crustáceo; 200mg EPA; 100mg DHA.,Indicado principalmente para la salud cardiovascular; ya que ayuda a reducir los triglicéridos; la presión arterial y el riesgo de coágulos.,,Cápsulas x 90.,activo
prod_034,Productos mh,Cedrón D4 MH,Cedrón D3; Cbd D3; Avena sativa D6; Melissa D3; Passiflora D3; Valeriana D3.,Insomnio; Estres; Relajante natural.,10 GOTAS A las 6:pm; 8:pm y 10:pm bajar la dosis a medida que mejore el insomnio.,Gotas x 20 ml.,activo
prod_035,Productos mh,Centella asiática D4 MH,Calcium carb. D12-D30; Graphites D8-D12; Calcium fluoratum D8-D12; Centella asiatica D3-D6-D12; Cholesterolum D30-D200; Equisetum D4-D6; Ginkgo biloba D3-D6; Hamamelis Virginiana D6.,Celulitis; adiposidad; problemas circulatorios; tendencia a sobrepeso; trombos.,,Gotas x 30 ml; Tabletas x 90 (En stock permanente) Bajo pedido: Glóbulos; Elixir; Spray oral; Spray nasal; Viales bebibles; Viales nebulizables.,activo
prod_036,Productos mh,Chelidonium D4 MH,Carduus marianus D4; Chelidonium majus D3; Cholesterolum D8; China D3; Colocynthis D6; Hepar D8 D12 D30; Leptandra D3; Lycopodyum D6; Nux vómica D4; Rosmarinus off. D4; Taraxacum D4.,Drenador hepático y biliar; insuficiencia hepática; litiasis biliar; ictericia obstructiva; lesiones y manchas hepáticas; pancreatitis; cirrosis.,,Gotas x 30 ml; Tabletas x 90 (En stock permanente) Bajo pedido: Glóbulos; Elixir; Spray oral; Spray nasal; Viales bebibles; Viales nebulizables.,activo
prod_037,Productos mh,Chimaphila D4 MH,Aesculus D6; Agnus castus D6; Caladium D6; Chimaphila D6; Clematis D6-D12; Damiana D4-D6; Ginkgo biloba D3; Ginseng panax D3; Pareira brava D6-D12; Phosphoricum acidum D6; Sabal D3-D6; Selenium 30CH; Solidago D6; Thuja D6-D12; Yohimbinum D6-D12; Zincum met 30CH.,Regulador del sistema endocrino masculino; drenaje de hígado; ayuda a combatir la impotencia; cansancio físico y mental; sistema urinario; drenaje renal; enfermedades de los riñones; enfermedades de la próstata.,,Gotas x 30 ml; Tabletas x 90 (En stock permanente) Bajo pedido: Glóbulos; Elixir; Spray oral; Spray nasal; Viales bebibles; Viales nebulizables.,activo
prod_038,Productos mh,Chininum D4 MH,Acidum phosphoricum D3; Baptista D4; Chamomilla vulgaris D4; Chininum D8; Colocynthis D6; Ferrum phosphoricum. D8; Mercurius corr. D5; Nux moschata D6; Oleander D6; Rhus tox. D4; Veratrum D6.,Diarreas agudas o crónicas; gastroenteritis de lactante; diarreas febriles; estados inflamatorios de las mucosas respiratoria y digestiva.,,Gotas x 30 ml; Tabletas x 90 (En stock permanente) Bajo pedido: Glóbulos; Elixir; Spray oral; Spray nasal; Viales bebibles; Viales nebulizables.,activo
prod_039,Productos mh,Cholesterolum D4 MH,Acidum ascorbicum D4; Allium sativum D3-D6-D12; Cholesterolum D30-D200; Crataegus D6; Leptandra D6-D12; Lycopodium D30; Nux vómica D6- D12; Solanum D4-D6-D12; Viscum Album D6.,Regular colesterol y triglicéridos; mareos; vértigo; taquicardias.,,Gotas x 30 ml; Tabletas x 90 (En stock permanente) Bajo pedido: Glóbulos; Elixir; Spray oral; Spray nasal; Viales bebibles; Viales nebulizables.,activo
prod_040,Productos mh,Cholesterolum D4 MH cápsulas,Allium sativum TM; D3-D6-D12; Cholesterolum D30-D200,Colesterol; triglicéridos; mareos; vértigo; taquicardias.,,Cápsulas x 90.,activo
prod_041,Productos mh,Cicuta virosa D4 MH,Aconitum D30; Artemisia absithium D4; Bufo D200; Cicuta virosa D12-D30; Cuprum D12; Curarum D12-D30; Silícea D30; Zincum met. D12.,Epilepsia; sacudidas musculares.,,Gotas x 30 ml; Tabletas x 90 (En stock permanente) Bajo pedido: Glóbulos; Elixir; Spray oral; Spray nasal; Viales bebibles; Viales nebulizables.,activo
prod_042,Productos mh,Cinnamomum D4 MH,Actea racemosa D6; Angélica D4-D6; Cerium D6; Cinnamomum D4-D6; Colocynthis D4-D6; Conium 5CH; Crocus D4; Cyclamen D6-D12;Glonoinum D6-D30; Hamamelis D6; Ignatia 30CH; Ipeca D4; D8; Kreosotum D6; Lachesis D12; Lilium D4-D6; Millefolium D4-D8; Palladium D6; Phosphorus D10; Scrophularia D3; Secale cornutum D6-D8. Sepia D6-D12; Thuja D3-D6; Ustilago D8; Viburnum D3.,Tendencia a hemorragias; Hemorragias capilares; Éstasis venosa; Dismenorrea; Metrorragias; Menorragia; Menopausia.,,Gotas x 30 ml; Tabletas x 90 (En stock permanente) Bajo pedido: Glóbulos; Elixir; Spray oral; Spray nasal; Viales bebibles; Viales nebulizables.,activo
prod_043,Productos mh,Colchicum D4 MH,Árnica D3-D6; Berberis D4; Calcium carbonicum D12; Calcium fluoricum D12; Calcium phosphoricum D12; Calcium sulphuricum D12; Causticum D6-D12-D30; Colchicum D6; Cuprum met D12; Dulcamara D6; Kalium iodatum D12; Kalmia D3-D6; Magnesia phosphoric D8-D12; Plumbum D12; Rhododendron D6-D12; Silícea D8; Zincum D12-D30-D200.,Dolor; fatiga física; reumatismo; gota; lumbago; patologías óseas; neuralgias; calambres; parálisis.,,Gotas x 30 ml; Tabletas x 90 (En stock permanente) Bajo pedido: Glóbulos; Elixir; Spray oral; Spray nasal; Viales bebibles; Viales nebulizables.,activo
prod_044,Productos mh,Colocynthis D4 MH,Alumina D12; Colocynthis D4; Lycopodium D4; Magnesia phos. D8; Nux vómica D6-D12; Plumbum D12; Taraxacum D4.,Problemas del colon en general; Colitis mucosa con o sin diarrea.,,Gotas x 30 ml; Tabletas x 90 (En stock permanente) Bajo pedido: Glóbulos; Elixir; Spray oral; Spray nasal; Viales bebibles; Viales nebulizables.,activo
prod_045,Productos mh,Conium D4 MH,Anamú d1; Arnica D3; Avena sativa D6; Cannabis sativa D3; Calostro bovino D1; Conium maculatum D3; Cúrcuma longa D3; Extracto embrionario de pato D1; Fenogreco alholva D1; Jengibre D3; Kalmia D6; Yoko D1; elaborado en licor de vino.,Este medicamento mejora la calidad de vida de los pacientes en tratamiento de cáncer y otras enfermedades degenerativas; elaborado en licor de vino; gran reconstituyente y fortalece el sistema inmune.,,Gotas por 30 ml.,activo
prod_046,Productos mh,Crataegus D4 MH,Adonis vernalis D6; Avena sativa D6; Crataegus D3 D6; Strophantus D3.,Hipotensión arterial; visión borrosa; vértigo; mareo; somnolencia; debilidad cardíaca.,,Gotas x 30 ml; Tabletas x 90 (En stock permanente) Bajo pedido: Glóbulos; Elixir; Spray oral; Spray nasal; Viales bebibles; Viales nebulizables.,activo
prod_047,Productos mh,Crocus D4 MH,Acidum sulfuric D4; Aesculus D2; Colocynthis D4-D6; Crocus D4; Ferrum phosphoric. D8; Hamamelis D6; Secale cornutum. D6.,Menorragia; metrorragia; extenuación por hemorragia; Dolor lumbar de origen ginecológico; deficiencias circulatorias periféricas.,,Gotas x 30 ml; Tabletas x 90 (En stock permanente) Bajo pedido: Glóbulos; Elixir; Spray oral; Spray nasal; Viales bebibles; Viales nebulizables.,activo
prod_048,Productos mh,Cuprum met D4 MH (cobre coloidal),Cobre coloidal puro.,Ayuda a corregir la deficiencia de cobre; ya que se absorbe mejor; es clave para la salud del corazón y el crecimiento de los vasos sanguíneos; contribuye a la producción de melanina y al mantenimiento del colágeno y la elastina; lo que ayuda a la elasticidad de la piel; facilita el transporte de hierro al flujo sanguíneo; ayudando a prevenir la anemia; es fundamental para el crecimiento en niños; el desarrollo del sistema inmunológico y el metabolismo energético.,,Spray x 30 ml,activo
prod_049,Productos mh,Cúrcuma D4 MH elixir,Cúrcuma longa D3; Clorofila alfalfa(Medicago sativa)D3; Anamú D3; Uva morada concentrada D1; Aminoacidos de seda D1; Ginseng (Raiz) D3; Jengibre D3; Ruibarbo D3; Aloe vera D1; Clorofila ortiga D2; Fenogreco alholva D3.,Combinación ideal para la prevención y tratamiento de enfermedades degenerativas y autoinmunes como cáncer; sida; lupus; fibromialgia; artritis rematoidea; aporta energía y es estimulante del sistema inmune.^CONTRAINDICACIONES: Embarazo; lactancia; pacientes con problemas de coagulación sanguínea; niños menores de tres años; precaución en pacientes diabéticos.,,Elixir x 240 ml.,activo
prod_050,Productos mh,Damiana D4 MH,Aesculus D4; Agnus D3-D4-D6; China D4; Damiana D4-D6-D10; Ginkgo biloba D3; Phosphoricum acidum D6; Pinus silvestris D4-D6; Sabal D4-D6; Yohimbinum D3-D6.,Impotencia viril; debilidad del sexo masculino; extenuación nerviosa; senilidad prematura; andropausia; estenosis uretral; prostatitis.,,Gotas x 30 ml; Tabletas x 90 (En stock permanente) Bajo pedido: Glóbulos; Elixir; Spray oral; Spray nasal; Viales bebibles; Viales nebulizables.,activo
prod_051,Productos mh,Echinacea D4 MH,Apis D4; Arsenicum album D4; Belladona D4; Baryta D8; Calcium iodatum D8; Echinacea D3; Kalium bichromicum D8; Phytolacca D4; Teucrium D6.,Estimula las defensas orgánicas; amigdalitis; furúnculos; abcesos; antibiótico natural.,,Gotas x 30 ml; Tabletas x 90 (En stock permanente) Bajo pedido: Glóbulos; Elixir; Spray oral; Spray nasal; Viales bebibles; Viales nebulizables.,activo
prod_052,Productos mh,Echinacea D4 MH crema o gel,Caléndula D4; Salvia Ofcinalis D4; Árnica D3; Echinacea D3; Apis D3; Belladona D4; Arsenicum Album D4; Baptisia D4; Bryonia D4.,Herpes; infecciones cutáneas; antibiótico natural; laceraciones; forúnculos.,,Crema 120g; Gel 120g,activo
prod_053,Productos mh,Equisetum D4 MH,Berberis D3; D6; Cantharis D6; Chimaphila D3-D6; Clematis erecta D6-D12; Equisetum D6-D12; Formica rufa D6; Hydrangea D6-D12; Lycopodium D6; Pareira brava D6; D12; Petroselinum D3; Sabal D6-D12; Sarsaparrilla D6; Solidago D6-D12; Staphysagria D6; Terebentina D6; Thuja D6-D12; Uva ursi D3-D6.,Problemas renales; cistitis; disurias; nefritis; inflamaciones hepáticas; litiasis renal; cálculos; hipertrofia de próstata; irritación de los riñones; vegiga y uretra.,,Gotas x 30 ml; Tabletas x 90 (En stock permanente) Bajo pedido: Glóbulos; Elixir; Spray oral; Spray nasal; Viales bebibles; Viales nebulizables.,activo
